arm,agent_id,drift_from_baseline,distance_to_centroid
thick,nurse_bx_0,0.08407649947937501,0.0626227470713635
thick,parent_si_0,0.09904246524894267,0.06228827362802658
thick,runner_man_0,0.13342758496512186,0.056725366359121954
thick,owner_bk_0,0.09106249504313213,0.05417314977793786
thick,student_bk_0,0.19237023745995707,0.09996120984202739
thick,teacher_qns_0,0.10963433135241396,0.0597861051128078
thick,nurse_bx_1,0.20886041780145048,0.08587865164379438
thick,parent_si_1,0.046929735344418355,0.05573332574912071
thick,runner_man_1,0.11076194791901772,0.06228076679418337
thick,owner_bk_1,0.1368735823950804,0.13280783653576123
thick,student_bk_1,0.17696943914722274,0.06442257173334764
thick,teacher_qns_1,0.1371486794816118,0.10309962476423573
null,nurse_bx_0,0.16015216091165763,0.07612871262028065
null,parent_si_0,0.3544533254959965,0.23635538864944505
null,runner_man_0,0.1877200391473628,0.058941532848631795
null,owner_bk_0,0.18921469817194125,0.06273102082074489
null,student_bk_0,0.2238979810849634,0.08483111923718756
null,teacher_qns_0,0.17854487630735127,0.08483111923718756
null,nurse_bx_1,0.2428455501458806,0.10191409881849633
null,parent_si_1,0.08173559645490935,0.06840967462575331
null,runner_man_1,0.20722718319193267,0.06281775749230478
null,owner_bk_1,0.1514536660075061,0.08635159665147263
null,student_bk_1,0.16859309960431845,0.04870183907172965
null,teacher_qns_1,0.15032904320993434,0.06613372546907292
